index,x,y,radius,angleStart,angleEnd,Rotation,starting_x,starting_y,ending_x,ending_y,tangent1_x,tangent1_y,tangent2_x,tangent2_y
A81,2.265,0.621,0.617,-0.548,1.571,CCW ,2.792,0.299,2.265,1.238,-0.521,-0.853,-1.0,-0.0
A82,2.265,0.621,0.466,-0.548,1.571,CCW ,2.663,0.378,2.265,1.087,-0.521,-0.853,-1.0,-0.0
A83,2.265,0.621,0.466,-1.98,-0.548,CCW ,2.08,0.193,2.663,0.378,-0.917,0.398,0.521,0.853
A84,2.265,0.621,0.617,-1.98,-0.548,CCW ,2.019,0.055,2.792,0.299,-0.917,0.398,0.521,0.853
A85,1.901,-0.208,0.435,0.0,1.162,CW,2.336,-0.208,2.074,0.191,0.0,-1.0,-0.917,0.398
A86,1.901,-0.208,0.283,0.0,1.162,CW,2.184,-0.208,2.014,0.052,0.0,-1.0,-0.917,0.398
A87,2.265,0.621,0.617,-2.821,-1.98,CCW ,1.679,0.426,2.019,0.055,-0.315,0.949,0.917,-0.398
A88,2.265,0.621,0.466,-2.873,-1.98,CCW ,1.816,0.497,2.08,0.193,-0.266,0.964,0.917,-0.398
A89,2.265,0.621,0.617,1.571,3.462,CCW ,2.265,1.238,1.679,0.427,1.0,0.0,0.315,-0.949
A90,2.265,0.621,0.466,1.571,3.41,CCW ,2.265,1.087,1.816,0.497,1.0,0.0,0.266,-0.964
A91,1.172,0.227,0.536,0.34,1.571,CW,1.677,0.406,1.172,0.763,0.333,-0.943,-1.0,-0.0
A92,1.172,0.227,0.698,0.387,1.476,CW,1.818,0.49,1.238,0.922,0.377,-0.926,-0.996,0.095
A93,1.182,0.308,0.466,1.676,3.142,CW,1.133,0.771,0.716,0.308,0.994,0.105,0.0,-1.0
A94,0.696,0.308,0.466,1.678,3.142,CW,0.646,0.771,0.23,0.308,0.994,0.107,0.0,-1.0
A95,0.696,0.308,0.617,1.508,3.142,CW,0.735,0.924,0.079,0.308,0.998,-0.062,0.0,-1.0
A96,-0.703,0.308,0.617,0.0,1.506,CW,-0.086,0.308,-0.663,0.924,0.0,-1.0,-0.998,0.065
A97,-0.69,0.308,0.466,0.0,1.514,CW,-0.224,0.308,-0.664,0.773,0.0,-1.0,-0.998,0.057
A98,-0.882,0.206,0.719,1.571,3.025,CW,-0.882,0.925,-1.596,0.29,1.0,0.0,-0.117,-0.993
A99,-0.882,0.206,0.567,1.571,3.012,CW,-0.882,0.773,-1.444,0.279,1.0,0.0,-0.129,-0.992
A991,-0.882,0.206,0.567,2.421,3.012,CW,-1.308,0.58,-1.444,0.279,0.66,0.751,-0.129,-0.992
A992,-0.882,0.206,0.567,1.847,2.421,CW,-1.037,0.752,-1.308,0.58,0.962,0.273,-0.66,-0.751
A993,-0.882,0.206,0.567,1.571,1.847,CW,-0.882,0.773,-1.037,0.752,1.0,0.0,-0.962,-0.273
A100,-2.056,0.358,0.617,-0.947,-0.131,CCW ,-1.695,-0.143,-1.444,0.278,-0.811,-0.584,0.13,0.991
